bank_txn_ref,posting_date,value_date,amount,currency,debit_credit,narration,bank_branch,source_system,fees_deducted
BK-5e80e11e2a,2024-02-08,2024-02-08,44732.35,KES,CR,CHQ DEP MBR 25164,BBR15,CHEQUE,250.58
BK-765196257a,2024-03-04,2024-03-04,5269.51,KES,CR,Mobile payment MBR 25173,BBR08,MPESA,28.68
BK-3556cf8643,2024-01-31,2024-01-31,46172.94,KES,CR,Mobile payment MBR 29348,BBR15,MPESA,255.71
BK-322fd7af6b,2024-02-02,2024-02-02,34323.18,KES,CR,CHQ DEP MBR 24429,BBR13,CHEQUE,249.92
BK-d7b42b4169,2024-03-12,2024-03-12,34351.32,KES,CR,CHQ DEP for MBR 26334,BBR09,CHEQUE,67.19
BK-add6734503,2024-02-21,2024-02-21,16271.38,KES,CR,CASH DEP 22115,BBR10,CASH,68.62
BK-922724e7c5,2024-02-05,2024-02-05,13676.91,KES,CR,CHQ DEP for MBR 22370,BBR05,CHEQUE,73.04
BK-d26adcc436,2024-01-11,2024-01-11,39174.92,KES,CR,Cash DEP acc 20162,BBR05,CASH,87.16
BK-69a8753b84,2024-02-15,2024-02-15,9686.44,KES,CR,M-PESA PAY 27510,BBR03,MPESA,43.26
BK-dbdf9b463b,2024-01-21,2024-01-21,37236.51,KES,CR,Mobile payment MBR 26456,BBR01,MPESA,169.06
BK-b626a0dfe6,2024-02-19,2024-02-19,36653.67,KES,CR,MPESA 26844,BBR01,MPESA,152.07
BK-1fac61c75a,2024-01-02,2024-01-02,20257.49,KES,CR,MPESA 28716,BBR06,MPESA,86.72
BK-8ed1cf7806,2024-03-10,2024-03-10,9385.81,KES,CR,CHQ DEP for MBR 25253,BBR06,CHEQUE,39.21
BK-55f98ed4e3,2024-01-04,2024-01-04,7204.33,KES,CR,M-PESA PAY 20681,BBR02,MPESA,18.37
BK-bfa2763fe4,2024-03-12,2024-03-12,42290.12,KES,CR,CHQ DEP MBR 26845,BBR13,CHEQUE,306.36
BK-fc581224bf,2024-02-17,2024-02-17,48050.03,KES,CR,M-PESA PAY 20137,BBR04,MPESA,168.95
BK-ba1f2039f0,2024-03-18,2024-03-18,47264.86,KES,CR,CASH DEP 25596,BBR12,CASH,189.76
BK-82b0827467,2024-02-09,2024-02-09,14938.68,KES,CR,CHQ dep MBR 29609,BBR10,CHEQUE,85.43
BK-a272bc326c,2024-02-02,2024-02-02,11512.61,KES,CR,CHQ DEP for MBR 25025,BBR02,CHEQUE,56.93
BK-078f8d7c2c,2024-03-06,2024-03-06,46793.42,KES,CR,Mobile payment MBR 22985,BBR04,MPESA,55.36
BK-1b04280a10,2024-01-03,2024-01-03,27475.29,KES,CR,M-PESA PAY 22726,BBR09,MPESA,214.1
BK-7e1a8ff684,2024-02-16,2024-02-16,43193.06,KES,CR,CHQ DEP for MBR 20582,BBR08,CHEQUE,256.97
BK-a19b0a7033,2024-01-11,2024-01-11,45824.9,KES,CR,Mobile payment MBR 21019,BBR08,MPESA,262.56
BK-aa9d20164e,2024-02-07,2024-02-07,19276.56,KES,CR,CHQ DEP for MBR 28794,BBR10,CHEQUE,65.2
BK-4084136f9e,2024-02-22,2024-02-22,4663.35,KES,CR,CHQ dep MBR 24616,BBR05,CHEQUE,14.4
BK-8fef3f2ff1,2024-02-22,2024-02-22,32035.52,KES,CR,Cash DEP acc 24300,BBR09,CASH,158.09
BK-5e961d9cf4,2024-01-26,2024-01-26,36957.7,KES,CR,CHQ DEP MBR 27285,BBR04,CHEQUE,267.51
BK-ab8f49bff9,2024-02-15,2024-02-15,40312.05,KES,CR,CASH DEP 28954,BBR15,CASH,86.37
BK-acd5f97429,2024-03-06,2024-03-06,24028.98,KES,CR,MPESA 29375,BBR14,MPESA,28.62
BK-fbeec307e7,2024-03-06,2024-03-06,22598.55,KES,CR,M-PESA PAY 25020,BBR01,MPESA,110.98
BK-df1762f965,2024-01-12,2024-01-12,38270.41,KES,CR,CASH DEP 20067,BBR10,CASH,188.55
BK-bb766b47fa,2024-03-28,2024-03-28,3743.12,KES,CR,M-PESA PAY 22896,BBR12,MPESA,4.2
BK-8886b03156,2024-03-13,2024-03-13,24072.18,KES,CR,CHQ DEP MBR 25731,BBR01,CHEQUE,95.2
BK-584e603bb5,2024-01-30,2024-01-30,7386.87,KES,CR,CASH DEP 22612,BBR09,CASH,19.43
BK-76d58abc51,2024-02-12,2024-02-12,41948.52,KES,CR,Cash DEP acc 26688,BBR03,CASH,106.98
BK-9af41350a6,2024-02-08,2024-02-08,788.79,KES,CR,Mobile payment MBR 20942,BBR07,MPESA,2.82
BK-fca81212d2,2024-02-05,2024-02-05,2237.73,KES,CR,MPESA 24951,BBR05,MPESA,14.7
BK-9f4412f40f,2024-02-21,2024-02-21,23348.23,KES,CR,Cash DEP acc 24695,BBR15,CASH,185.32
BK-39cd0460c9,2024-03-04,2024-03-04,11177.1,KES,CR,CHQ DEP for MBR 24644,BBR09,CHEQUE,44.27
BK-6ded701a92,2024-03-16,2024-03-16,24550.61,KES,CR,Cash DEP acc 28788,BBR03,CASH,133.27
BK-5014faa5bc,2024-02-05,2024-02-05,12352.89,KES,CR,MPESA 26887,BBR06,MPESA,56.45
BK-fc06216a20,2024-02-15,2024-02-15,21429.56,KES,CR,CHQ DEP for MBR 29990,BBR15,CHEQUE,92.83
BK-8e4267ab26,2024-01-13,2024-01-13,1203.03,KES,CR,CASH DEP 24317,BBR13,CASH,7.17
BK-aeaf128e39,2024-03-24,2024-03-24,41523.43,KES,CR,Cash DEP acc 27327,BBR13,CASH,322.47
BK-39b4a99c17,2024-03-24,2024-03-24,44349.19,KES,CR,CASH DEP 28090,BBR04,CASH,154.73
BK-805c4e3273,2024-02-03,2024-02-03,44177.73,KES,CR,Cash DEP acc 28656,BBR07,CASH,156.78
BK-26bf181c95,2024-01-21,2024-01-21,34322.24,KES,CR,MPESA 22911,BBR05,MPESA,202.42
