payment_ref,payment_timestamp,value_date,amount,currency,payment_channel,customer_id,narration,payment_status,entered_by,branch_code,expected_fee
PS-4775870d89,2024-01-18,2024-01-14,37206.75,KES,CHEQUE,21824,Cheque dep member 21824,SUCCESS,BATCH,BR18,100.29
PS-d13de5036a,2024-03-05,2024-03-18,1974.96,KES,CHEQUE,26912,Cheque deposit for member 26912,SUCCESS,BATCH,BR07,15.26
PS-8955a11f87,2024-01-01,2024-01-21,11411.81,KES,MPESA,28928,M-PESA PAY 28928,SUCCESS,SYSTEM,BR11,48.19
PS-3d40654f2f,2024-02-15,2024-02-14,5559.41,KES,MPESA,23527,M-PESA PAY 23527,SUCCESS,SYSTEM,BR02,43.57
PS-6163d6dd33,2024-03-11,2024-02-07,48669.23,KES,CHEQUE,28785,Cheque dep member 28785,SUCCESS,BATCH,BR12,322.13
PS-47f8f0ba74,2024-01-11,2024-01-30,33232.53,KES,CHEQUE,21139,Cheque deposit for member 21139,SUCCESS,SYSTEM,BR09,187.01
PS-201e8d9c9d,2024-02-04,2024-03-30,18823.96,KES,CHEQUE,25977,Cheque dep member 25977,SUCCESS,BATCH,BR03,129.38
PS-d65b23d212,2024-02-18,2024-02-04,36591.78,KES,CASH,22803,Cash deposit acc 22803,SUCCESS,BATCH,BR11,319.92
PS-51280037c5,2024-02-21,2024-02-04,41179.23,KES,CHEQUE,20916,Cheque deposit for member 20916,SUCCESS,TELLER,BR19,371.06
PS-4f79d42657,2024-03-23,2024-02-28,32944.21,KES,CHEQUE,25155,Cheque deposit for member 25155,SUCCESS,SYSTEM,BR05,130.89
PS-62cdef8f79,2024-03-15,2024-02-21,13505.71,KES,CASH,29197,CASH DEP 29197,SUCCESS,TELLER,BR05,82.06
PS-edae825f82,2024-01-21,2024-03-28,43124.59,KES,CHEQUE,21489,CHQ DEP MBR 21489,SUCCESS,BATCH,BR03,218.99
PS-a470954e14,2024-01-02,2024-03-28,26691.16,KES,MPESA,29763,M-PESA PAY 29763,FAILED,TELLER,BR18,213.72
